Date;Open;High;Low;Close;Volume
08/03/25;261.56;266.45;245.86;248.95;13,794,800
01/03/25;254.74;261.96;245.18;261.54;22,284,200
22/02/25;261.50;263.85;246.54;252.44;25,541,400
15/02/25;261.93;265.09;259.83;261.48;18,534,200
08/02/25;250.86;261.94;246.87;261.28;19,898,100
01/02/25;252.40;265.72;251.84;252.34;30,149,900
25/01/25;222.19;261.80;219.84;255.70;39,049,000
18/01/25;224.99;227.45;220.35;224.80;15,594,300
11/01/25;217.89;225.96;214.61;224.79;18,989,800
04/01/25;223.00;226.71;216.80;219.75;12,336,100
28/12/24;220.54;223.66;217.60;222.65;10,817,400
21/12/24;222.81;225.40;221.08;222.78;9,271,600
14/12/24;230.73;231.03;220.03;223.36;28,264,500
07/12/24;238.00;239.35;227.80;230.82;20,885,700
30/11/24;227.50;238.38;225.51;238.04;18,743,400
23/11/24;223.35;230.36;222.65;227.41;17,274,200
16/11/24;207.00;227.20;205.37;222.97;21,386,600
09/11/24;214.40;215.41;204.07;204.99;19,438,000
02/11/24;207.65;216.70;205.57;213.72;15,846,600
26/10/24;215.50;216.25;203.51;208.25;26,467,700
19/10/24;231.21;233.34;214.39;214.67;31,380,700
12/10/24;233.57;237.37;230.17;232.20;18,477,500
05/10/24;225.38;235.83;225.02;233.26;18,397,900
28/09/24;220.65;226.08;215.80;226.00;17,777,300
21/09/24;218.00;224.15;217.27;220.84;16,300,000
14/09/24;215.88;218.84;210.37;217.70;28,532,500
07/09/24;201.94;216.09;201.43;214.79;21,518,600
31/08/24;201.91;205.95;199.34;200.74;13,550,900
24/08/24;196.00;202.17;195.90;202.13;15,570,100
17/08/24;193.84;197.92;193.72;196.10;11,022,600
10/08/24;191.25;194.35;189.00;193.78;11,330,700
03/08/24;184.55;192.88;181.81;191.45;18,895,800
27/07/24;193.18;194.55;185.70;189.12;20,594,400
20/07/24;183.40;196.26;182.86;191.75;25,458,500
13/07/24;183.38;189.47;181.95;183.25;17,829,300
06/07/24;176.41;184.16;174.45;182.83;16,070,300
29/06/24;173.45;177.98;173.38;176.02;9,939,300
22/06/24;175.00;178.46;170.41;172.95;18,850,300
15/06/24;168.76;174.96;167.50;172.46;21,531,300
08/06/24;169.55;172.47;166.81;169.21;16,222,100
01/06/24;166.54;171.31;163.53;170.01;14,102,300
25/05/24;170.44;171.09;163.84;166.85;15,594,100
18/05/24;169.00;175.46;168.38;170.89;18,409,700
11/05/24;167.50;169.63;166.48;169.03;15,933,400
04/05/24;166.50;170.26;165.88;167.15;17,421,600
27/04/24;167.40;168.22;162.62;165.71;22,514,000
20/04/24;182.45;184.68;165.66;167.13;42,329,300
13/04/24;185.57;187.48;180.17;181.58;16,929,100
06/04/24;189.24;191.25;181.69;182.27;14,961,000
30/03/24;190.00;193.28;187.34;189.14;12,881,500
23/03/24;190.26;191.93;188.50;190.96;15,383,300
16/03/24;191.70;193.98;190.01;190.84;23,967,800
09/03/24;195.09;199.18;190.70;191.07;27,536,000
02/03/24;187.76;198.73;187.60;195.95;29,084,700
24/02/24;185.60;188.38;182.62;188.20;21,954,300
17/02/24;187.64;188.77;178.75;185.72;17,487,900
10/02/24;185.90;188.95;182.26;187.64;21,744,100
03/02/24;185.51;187.18;181.49;186.34;22,784,200
27/01/24;187.46;189.46;182.71;185.79;28,282,700
20/01/24;172.82;196.90;172.40;187.42;57,499,400
